!!SBtab TableID='ParamPrep' TableType='Quantity' TableName='Parameters_EqPrep' DocumentName=' Document=' Unit=' SBtabVersion='1.0' Date='2019-5-17'
!QuantityType	!Reaction:SBML:reaction:id	!Enzyme:Identifiers:ec-code	!Compound:SBML:species:id	!Name	!Mean	!Std	!Unit	!Min	!Max	!Organism	!Description
substrate catalytic rate constant	R_SERTRS	6.1.1.11			1.37					Streptomyces sp.	BRENDA LIT: 701741; Filo Dist: 1.359
substrate catalytic rate constant	R_SERTRS	6.1.1.11			1.8					Streptomyces sp.	BRENDA LIT: 701741; Filo Dist: 1.359
substrate catalytic rate constant	R_SERTRS	6.1.1.11			7.0					Streptomyces sp.	BRENDA LIT: 701741; Filo Dist: 1.359
substrate catalytic rate constant	R_SERTRS	6.1.1.11			0.2					Zea mays	BRENDA LIT: 649451; Filo Dist: 5.0
substrate catalytic rate constant	R_SERTRS	6.1.1.11			0.5					Zea mays	BRENDA LIT: 649451; Filo Dist: 5.0
substrate catalytic rate constant	R_SERTRS	6.1.1.11			0.9					Zea mays	BRENDA LIT: 649451; Filo Dist: 5.0
substrate catalytic rate constant	R_SERTRS	6.1.1.11			1.1					Zea mays	BRENDA LIT: 726813; Filo Dist: 5.0
substrate catalytic rate constant	R_SERTRS	6.1.1.11			1.2					Zea mays	BRENDA LIT: 649451; Filo Dist: 5.0
substrate catalytic rate constant	R_SERTRS	6.1.1.11			1.2					Zea mays	BRENDA LIT: 649451; Filo Dist: 5.0
substrate catalytic rate constant	R_SERTRS	6.1.1.11			1.48					Zea mays	BRENDA LIT: 690614; Filo Dist: 5.0
substrate catalytic rate constant	R_SERTRS	6.1.1.11			2.5					Zea mays	BRENDA LIT: 726813; Filo Dist: 5.0
substrate catalytic rate constant	R_SERTRS	6.1.1.11			2.8					Zea mays	BRENDA LIT: 690614; Filo Dist: 5.0
substrate catalytic rate constant	R_SERTRS	6.1.1.11			6.9					Zea mays	BRENDA LIT: 649451; Filo Dist: 5.0
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			9.3					Saccharomyces cerevisiae	BRENDA LIT: 652801; Filo Dist: 4.245
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			16.9					Saccharomyces cerevisiae	BRENDA LIT: 115; Filo Dist: 4.245
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.004					Homo sapiens	BRENDA LIT: 728404; Filo Dist: 4.097
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.0103					Homo sapiens	BRENDA LIT: 728404; Filo Dist: 4.097
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.027					Homo sapiens	BRENDA LIT: 676127; Filo Dist: 4.097
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.1					Homo sapiens	BRENDA LIT: 658121; Filo Dist: 4.097
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.133					Homo sapiens	BRENDA LIT: 658121; Filo Dist: 4.097
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.22					Homo sapiens	BRENDA LIT: 704504; Filo Dist: 4.097
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			6.7					Homo sapiens	BRENDA LIT: 704504; Filo Dist: 4.097
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.0117					Thermococcus kodakarensis	BRENDA LIT: 650996; Filo Dist: 6.0
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.23					Escherichia coli	BRENDA LIT: 728404; Filo Dist: 1.512
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.55					Escherichia coli	BRENDA LIT: 659236; Filo Dist: 1.512
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			18.0					Escherichia coli	BRENDA LIT: 98; Filo Dist: 1.512
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.042					Thermus thermophilus	BRENDA LIT: 650996; Filo Dist: 1.421
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.01					Plasmodium falciparum	BRENDA LIT: 704504; Filo Dist: 4.172
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			0.2					Plasmodium falciparum	BRENDA LIT: 704504; Filo Dist: 4.172
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			5.9					Plasmodium falciparum	BRENDA LIT: 704504; Filo Dist: 4.172
substrate catalytic rate constant	R_ASPTRS	6.1.1.12			8.5					Plasmodium falciparum	BRENDA LIT: 704504; Filo Dist: 4.172
substrate catalytic rate constant	R_GLYTRS	6.1.1.14			0.19					Saccharomyces cerevisiae	BRENDA LIT: 728297; Filo Dist: 4.245
substrate catalytic rate constant	R_GLYTRS	6.1.1.14			0.33					Saccharomyces cerevisiae	BRENDA LIT: 728297; Filo Dist: 4.245
substrate catalytic rate constant	R_GLYTRS	6.1.1.14			0.73					Saccharomyces cerevisiae	BRENDA LIT: 728297; Filo Dist: 4.245
substrate catalytic rate constant	R_PROTRS	6.1.1.15			0.239					Escherichia coli	BRENDA LIT: 674646; Filo Dist: 1.512
substrate catalytic rate constant	R_PROTRS	6.1.1.15			12.6					Escherichia coli	BRENDA LIT: 727022; Filo Dist: 1.512
substrate catalytic rate constant	R_PROTRS	6.1.1.15			12.6					Escherichia coli	BRENDA LIT: 727041; Filo Dist: 1.512
substrate catalytic rate constant	R_PROTRS	6.1.1.15			12.7					Escherichia coli	BRENDA LIT: 726978; Filo Dist: 1.512
substrate catalytic rate constant	R_PROTRS	6.1.1.15			14.0					Escherichia coli	BRENDA LIT: 652298; Filo Dist: 1.512
substrate catalytic rate constant	R_PROTRS	6.1.1.15			70.0					Escherichia coli	BRENDA LIT: 652154; Filo Dist: 1.512
substrate catalytic rate constant	R_PROTRS	6.1.1.15			70.0					Escherichia coli	BRENDA LIT: 674646; Filo Dist: 1.512
substrate catalytic rate constant	R_PROTRS	6.1.1.15			81.0					Escherichia coli	BRENDA LIT: 164; Filo Dist: 1.512
substrate catalytic rate constant	R_PROTRS	6.1.1.15			5.6					Saccharomyces cerevisiae	BRENDA LIT: 652298; Filo Dist: 4.245
substrate catalytic rate constant	R_PROTRS	6.1.1.15			1.8					Deinococcus radiodurans	BRENDA LIT: 675395; Filo Dist: 1.453
substrate catalytic rate constant	R_PROTRS	6.1.1.15			9.8					Deinococcus radiodurans	BRENDA LIT: 675395; Filo Dist: 1.453
substrate catalytic rate constant	R_PROTRS	6.1.1.15			10.8					Deinococcus radiodurans	BRENDA LIT: 675395; Filo Dist: 1.453
substrate catalytic rate constant	R_PROTRS	6.1.1.15			32.0					Deinococcus radiodurans	BRENDA LIT: 652298; Filo Dist: 1.453
substrate catalytic rate constant	R_PROTRS	6.1.1.15			0.58					Methanocaldococcus jannaschii	BRENDA LIT: 728125; Filo Dist: 6.0
substrate catalytic rate constant	R_PROTRS	6.1.1.15			14.0					Rhodopseudomonas palustris	BRENDA LIT: 652298; Filo Dist: 1.433
substrate catalytic rate constant	R_PROTRS	6.1.1.15			26.0					Novosphingobium aromaticivorans	BRENDA LIT: 652298; Filo Dist: 2.5
substrate catalytic rate constant	R_PROTRS	6.1.1.15			19.0					Cytophaga hutchinsonii	BRENDA LIT: 652298; Filo Dist: 2.5
substrate catalytic rate constant	R_PROTRS	6.1.1.15			80.0					Homo sapiens	BRENDA LIT: 652154; Filo Dist: 4.097
substrate catalytic rate constant	R_PROTRS	6.1.1.15			35.0					Magnetospirillum magnetotacticum	BRENDA LIT: 652298; Filo Dist: 2.5
substrate catalytic rate constant	R_PROTRS	6.1.1.15			34.0					Borreliella burgdorferi	BRENDA LIT: 652298; Filo Dist: 2.5
substrate catalytic rate constant	R_PROTRS	6.1.1.15			60.0					Acetoanaerobium sticklandii	BRENDA LIT: 652298; Filo Dist: nan
substrate catalytic rate constant	R_PROTRS	6.1.1.15			0.9					Methanococcus maripaludis	BRENDA LIT: 653662; Filo Dist: 4.221
substrate catalytic rate constant	R_PROTRS	6.1.1.15			13.2					Arabidopsis thaliana	BRENDA LIT: 746082; Filo Dist: 4.069
substrate catalytic rate constant	R_PROTRS	6.1.1.15			57.5					Arabidopsis thaliana	BRENDA LIT: 746082; Filo Dist: 4.069
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			0.5					Escherichia coli	BRENDA LIT: 652909; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			0.9					Escherichia coli	BRENDA LIT: 652909; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			1.2					Escherichia coli	BRENDA LIT: 727889; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			2.46					Escherichia coli	BRENDA LIT: 661203; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			2.46					Escherichia coli	BRENDA LIT: 662934; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			2.5					Escherichia coli	BRENDA LIT: 675395; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			2.5					Escherichia coli	BRENDA LIT: 652909; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			2.9					Escherichia coli	BRENDA LIT: 662024; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			2.9					Escherichia coli	BRENDA LIT: 675395; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			3.0					Escherichia coli	BRENDA LIT: 652821; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			3.47					Escherichia coli	BRENDA LIT: 652821; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			4.4					Escherichia coli	BRENDA LIT: 662024; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			4.8					Escherichia coli	BRENDA LIT: 662024; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			22.6					Escherichia coli	BRENDA LIT: 661203; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			35.0					Escherichia coli	BRENDA LIT: 652909; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			57.0					Escherichia coli	BRENDA LIT: 652909; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			79.0					Escherichia coli	BRENDA LIT: 652909; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			91.0					Escherichia coli	BRENDA LIT: 652909; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			100.0					Escherichia coli	BRENDA LIT: 652909; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			142.0					Escherichia coli	BRENDA LIT: 652909; Filo Dist: 1.512
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			0.11					Halobacterium sp.	BRENDA LIT: 672180; Filo Dist: 4.437
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			2.3					Homo sapiens	BRENDA LIT: 675435; Filo Dist: 4.097
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			10.3					Homo sapiens	BRENDA LIT: 675435; Filo Dist: 4.097
substrate catalytic rate constant	R_CYSTRS	6.1.1.16			2.2					Methanococcus maripaludis	BRENDA LIT: 653662; Filo Dist: 4.221
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			0.63					Saccharomyces cerevisiae	BRENDA LIT: 260; Filo Dist: 4.245
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			3.22					Saccharomyces cerevisiae	BRENDA LIT: 260; Filo Dist: 4.245
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			2.0					Escherichia coli	BRENDA LIT: 649631; Filo Dist: 1.512
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			17.0					Escherichia coli	BRENDA LIT: 651112; Filo Dist: 1.512
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			21.9					Escherichia coli	BRENDA LIT: 649631; Filo Dist: 1.512
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			26.0					Escherichia coli	BRENDA LIT: 650287; Filo Dist: 1.512
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			26.0					Escherichia coli	BRENDA LIT: 649631; Filo Dist: 1.512
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			0.00016					Cricetulus sp.	BRENDA LIT: 661183; Filo Dist: 5.0
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			0.0045					Cricetulus sp.	BRENDA LIT: 661183; Filo Dist: 5.0
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			1.8					Cricetulus sp.	BRENDA LIT: 661127; Filo Dist: 5.0
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			0.215					Canavalia ensiformis	BRENDA LIT: 694971; Filo Dist: 5.0
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			0.337					Canavalia ensiformis	BRENDA LIT: 694971; Filo Dist: 5.0
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			0.28					Homo sapiens	BRENDA LIT: 662416; Filo Dist: 4.097
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			0.32					Homo sapiens	BRENDA LIT: 662416; Filo Dist: 4.097
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			0.36					Homo sapiens	BRENDA LIT: 672090; Filo Dist: 4.097
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			0.41					Homo sapiens	BRENDA LIT: 662416; Filo Dist: 4.097
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			2.5					Homo sapiens	BRENDA LIT: 715565; Filo Dist: 4.097
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			3.4					Homo sapiens	BRENDA LIT: 715565; Filo Dist: 4.097
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			3.8					Homo sapiens	BRENDA LIT: 715565; Filo Dist: 4.097
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			15.5					Homo sapiens	BRENDA LIT: 715565; Filo Dist: 4.097
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			16.5					Homo sapiens	BRENDA LIT: 715565; Filo Dist: 4.097
substrate catalytic rate constant	R_ARGTRS	6.1.1.19			17.9					Homo sapiens	BRENDA LIT: 715565; Filo Dist: 4.097
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			1.0					Homo sapiens	BRENDA LIT: 653740; Filo Dist: 4.097
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			1.1					Homo sapiens	BRENDA LIT: 653740; Filo Dist: 4.097
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			1.1					Homo sapiens	BRENDA LIT: 653740; Filo Dist: 4.097
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			1.2					Homo sapiens	BRENDA LIT: 651999; Filo Dist: 4.097
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			1.33					Homo sapiens	BRENDA LIT: 676210; Filo Dist: 4.097
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			1.37					Homo sapiens	BRENDA LIT: 676229; Filo Dist: 4.097
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			1.4					Homo sapiens	BRENDA LIT: 651999; Filo Dist: 4.097
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			0.9					Bacillus subtilis	BRENDA LIT: 649736; Filo Dist: 0.876
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			0.9					Bacillus subtilis	BRENDA LIT: 649736; Filo Dist: 0.876
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			22.0					Bacillus subtilis	BRENDA LIT: 662273; Filo Dist: 0.876
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			22.0					Bacillus subtilis	BRENDA LIT: 662273; Filo Dist: 0.876
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			3.0					Acidithiobacillus ferrooxidans	BRENDA LIT: 651316; Filo Dist: 2.5
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			3.17					Acidithiobacillus ferrooxidans	BRENDA LIT: 651316; Filo Dist: 2.5
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			24.5					Acidithiobacillus ferrooxidans	BRENDA LIT: 651316; Filo Dist: 2.5
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			4.88					Geobacillus stearothermophilus	BRENDA LIT: 727987; Filo Dist: 1.5
substrate catalytic rate constant	R_TRPTRS	6.1.1.2			5.45					Geobacillus stearothermophilus	BRENDA LIT: 727987; Filo Dist: 1.5
substrate catalytic rate constant	R_PHETRS	6.1.1.20			1.12					Thermus thermophilus	BRENDA LIT: 727288; Filo Dist: 1.421
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.005					Homo sapiens	BRENDA LIT: 746395; Filo Dist: 4.097
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.06					Homo sapiens	BRENDA LIT: 746395; Filo Dist: 4.097
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.075					Homo sapiens	BRENDA LIT: 727288; Filo Dist: 4.097
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.11					Homo sapiens	BRENDA LIT: 652794; Filo Dist: 4.097
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.19					Homo sapiens	BRENDA LIT: 746396; Filo Dist: 4.097
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.19					Homo sapiens	BRENDA LIT: 746396; Filo Dist: 4.097
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.87					Homo sapiens	BRENDA LIT: 727288; Filo Dist: 4.097
substrate catalytic rate constant	R_PHETRS	6.1.1.20			1.1					Homo sapiens	BRENDA LIT: 652794; Filo Dist: 4.097
substrate catalytic rate constant	R_PHETRS	6.1.1.20			2.9					Homo sapiens	BRENDA LIT: 652794; Filo Dist: 4.097
substrate catalytic rate constant	R_PHETRS	6.1.1.20			58.2					Saccharomyces cerevisiae	BRENDA LIT: 745346; Filo Dist: 4.245
substrate catalytic rate constant	R_PHETRS	6.1.1.20			150.0					Saccharomyces cerevisiae	BRENDA LIT: 669399; Filo Dist: 4.245
substrate catalytic rate constant	R_PHETRS	6.1.1.20			180.0					Saccharomyces cerevisiae	BRENDA LIT: 706561; Filo Dist: 4.245
substrate catalytic rate constant	R_PHETRS	6.1.1.20			240.0					Saccharomyces cerevisiae	BRENDA LIT: 669399; Filo Dist: 4.245
substrate catalytic rate constant	R_PHETRS	6.1.1.20			603.0					Saccharomyces cerevisiae	BRENDA LIT: 706561; Filo Dist: 4.245
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.077					Escherichia coli	BRENDA LIT: 672206; Filo Dist: 1.512
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.82					Escherichia coli	BRENDA LIT: 672206; Filo Dist: 1.512
substrate catalytic rate constant	R_PHETRS	6.1.1.20			1.72					Escherichia coli	BRENDA LIT: 668401; Filo Dist: 1.512
substrate catalytic rate constant	R_PHETRS	6.1.1.20			3.34					Escherichia coli	BRENDA LIT: 672206; Filo Dist: 1.512
substrate catalytic rate constant	R_PHETRS	6.1.1.20			199.0					Escherichia coli	BRENDA LIT: 706561; Filo Dist: 1.512
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.74					Pseudomonas aeruginosa	BRENDA LIT: 744752; Filo Dist: 1.404
substrate catalytic rate constant	R_PHETRS	6.1.1.20			13.2					Pseudomonas aeruginosa	BRENDA LIT: 744752; Filo Dist: 1.404
substrate catalytic rate constant	R_PHETRS	6.1.1.20			16.2					Pseudomonas aeruginosa	BRENDA LIT: 744752; Filo Dist: 1.404
substrate catalytic rate constant	R_PHETRS	6.1.1.20			0.93					Streptococcus pneumoniae	BRENDA LIT: 744752; Filo Dist: 0.988
substrate catalytic rate constant	R_PHETRS	6.1.1.20			15.5					Streptococcus pneumoniae	BRENDA LIT: 744752; Filo Dist: 0.988
substrate catalytic rate constant	R_PHETRS	6.1.1.20			22.5					Streptococcus pneumoniae	BRENDA LIT: 744752; Filo Dist: 0.988
substrate catalytic rate constant	R_HISTRS	6.1.1.21			0.17					Escherichia coli	BRENDA LIT: 361; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			0.19					Escherichia coli	BRENDA LIT: 361; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			0.64					Escherichia coli	BRENDA LIT: 361; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			1.71					Escherichia coli	BRENDA LIT: 677092; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			2.02					Escherichia coli	BRENDA LIT: 661192; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			2.6					Escherichia coli	BRENDA LIT: 361; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			6.0					Escherichia coli	BRENDA LIT: 360; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			7.0					Escherichia coli	BRENDA LIT: 360; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			34.0					Escherichia coli	BRENDA LIT: 360; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			120.0					Escherichia coli	BRENDA LIT: 361; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			130.0					Escherichia coli	BRENDA LIT: 677092; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			130.0					Escherichia coli	BRENDA LIT: 677092; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			142.0					Escherichia coli	BRENDA LIT: 361; Filo Dist: 1.512
substrate catalytic rate constant	R_HISTRS	6.1.1.21			0.417					Saccharomyces cerevisiae	BRENDA LIT: 716387; Filo Dist: 4.245
substrate catalytic rate constant	R_HISTRS	6.1.1.21			0.42					Saccharomyces cerevisiae	BRENDA LIT: 677092; Filo Dist: 4.245
substrate catalytic rate constant	R_HISTRS	6.1.1.21			40.0					Saccharomyces cerevisiae	BRENDA LIT: 677092; Filo Dist: 4.245
substrate catalytic rate constant	R_HISTRS	6.1.1.21			40.0					Saccharomyces cerevisiae	BRENDA LIT: 677092; Filo Dist: 4.245
substrate catalytic rate constant	R_HISTRS	6.1.1.21			4.1					Homo sapiens	BRENDA LIT: 745058; Filo Dist: 4.097
substrate catalytic rate constant	R_HISTRS	6.1.1.21			5.4					Homo sapiens	BRENDA LIT: 745058; Filo Dist: 4.097
substrate catalytic rate constant	R_HISTRS	6.1.1.21			5.8					Homo sapiens	BRENDA LIT: 745058; Filo Dist: 4.097
substrate catalytic rate constant	R_HISTRS	6.1.1.21			4.0					Caulobacter vibrioides	BRENDA LIT: 716383; Filo Dist: 1.431
substrate catalytic rate constant	R_ASNTRS	6.1.1.22			0.043					Staphylococcus aureus	BRENDA LIT: 744899; Filo Dist: 0.909
substrate catalytic rate constant	R_ASNTRS	6.1.1.22			1.6					Escherichia coli	BRENDA LIT: 387; Filo Dist: 1.512
substrate catalytic rate constant	R_ASNTRS	6.1.1.22			1.6					Escherichia coli	BRENDA LIT: 388; Filo Dist: 1.512
substrate catalytic rate constant	R_ASNTRS	6.1.1.22			2.2					Escherichia coli	BRENDA LIT: 387; Filo Dist: 1.512
substrate catalytic rate constant	R_ASNTRS	6.1.1.22			2.2					Escherichia coli	BRENDA LIT: 388; Filo Dist: 1.512
substrate catalytic rate constant	R_ASNTRS	6.1.1.22			2.8					Escherichia coli	BRENDA LIT: 387; Filo Dist: 1.512
substrate catalytic rate constant	R_ASNTRS	6.1.1.22			0.5					Plasmodium falciparum	BRENDA LIT: 727971; Filo Dist: 4.172
substrate catalytic rate constant	R_ASNTRS	6.1.1.22			4.2					Plasmodium falciparum	BRENDA LIT: 727971; Filo Dist: 4.172
substrate catalytic rate constant	R_ASNTRS	6.1.1.22			10.1					Plasmodium falciparum	BRENDA LIT: 727971; Filo Dist: 4.172
substrate catalytic rate constant	R_GLUTRS	6.1.1.24			0.09					Escherichia coli	BRENDA LIT: 714207; Filo Dist: 1.512
substrate catalytic rate constant	R_GLUTRS_Gln	6.1.1.24			0.09					Escherichia coli	BRENDA LIT: 714207; Filo Dist: 1.512
substrate catalytic rate constant	R_GLUTRS	6.1.1.24			0.1					Escherichia coli	BRENDA LIT: 714207; Filo Dist: 1.512
substrate catalytic rate constant	R_GLUTRS_Gln	6.1.1.24			0.1					Escherichia coli	BRENDA LIT: 714207; Filo Dist: 1.512
substrate catalytic rate constant	R_GLUTRS	6.1.1.24			0.09					Methanothermobacter thermautotrophicus	BRENDA LIT: 714207; Filo Dist: 6.0
substrate catalytic rate constant	R_GLUTRS_Gln	6.1.1.24			0.09					Methanothermobacter thermautotrophicus	BRENDA LIT: 714207; Filo Dist: 6.0
substrate catalytic rate constant	R_GLUTRS	6.1.1.24			0.1					Methanothermobacter thermautotrophicus	BRENDA LIT: 714207; Filo Dist: 6.0
substrate catalytic rate constant	R_GLUTRS_Gln	6.1.1.24			0.1					Methanothermobacter thermautotrophicus	BRENDA LIT: 714207; Filo Dist: 6.0
substrate catalytic rate constant	R_THRTRS	6.1.1.3			0.00157					Saccharomyces cerevisiae	BRENDA LIT: 716387; Filo Dist: 4.245
substrate catalytic rate constant	R_THRTRS	6.1.1.3			0.0383					Saccharomyces cerevisiae	BRENDA LIT: 716387; Filo Dist: 4.245
substrate catalytic rate constant	R_THRTRS	6.1.1.3			0.0467					Saccharomyces cerevisiae	BRENDA LIT: 716387; Filo Dist: 4.245
substrate catalytic rate constant	R_THRTRS	6.1.1.3			3.32					Saccharomyces cerevisiae	BRENDA LIT: 727916; Filo Dist: 4.245
substrate catalytic rate constant	R_THRTRS	6.1.1.3			0.05					Escherichia coli	BRENDA LIT: 716771; Filo Dist: 1.512
substrate catalytic rate constant	R_THRTRS	6.1.1.3			0.52					Escherichia coli	BRENDA LIT: 397; Filo Dist: 1.512
substrate catalytic rate constant	R_THRTRS	6.1.1.3			0.53					Escherichia coli	BRENDA LIT: 397; Filo Dist: 1.512
substrate catalytic rate constant	R_THRTRS	6.1.1.3			3.0					Escherichia coli	BRENDA LIT: 653312; Filo Dist: 1.512
substrate catalytic rate constant	R_THRTRS	6.1.1.3			33.0					Escherichia coli	BRENDA LIT: 662443; Filo Dist: 1.512
substrate catalytic rate constant	R_THRTRS	6.1.1.3			35.0					Escherichia coli	BRENDA LIT: 744225; Filo Dist: 1.512
substrate catalytic rate constant	R_THRTRS	6.1.1.3			37.0					Escherichia coli	BRENDA LIT: 653312; Filo Dist: 1.512
substrate catalytic rate constant	R_THRTRS	6.1.1.3			90.0					Escherichia coli	BRENDA LIT: 650200; Filo Dist: 1.512
substrate catalytic rate constant	R_THRTRS	6.1.1.3			90.0					Escherichia coli	BRENDA LIT: 650200; Filo Dist: 1.512
substrate catalytic rate constant	R_THRTRS	6.1.1.3			0.037					Thermus thermophilus	BRENDA LIT: 397; Filo Dist: 1.421
substrate catalytic rate constant	R_THRTRS	6.1.1.3			0.21					Thermus thermophilus	BRENDA LIT: 397; Filo Dist: 1.421
substrate catalytic rate constant	R_THRTRS	6.1.1.3			2.16					Mycoplasma mobile	BRENDA LIT: 745349; Filo Dist: 1.012
substrate catalytic rate constant	R_THRTRS	6.1.1.3			6.31					Mycoplasma capricolum	BRENDA LIT: 745349; Filo Dist: 1.012
substrate catalytic rate constant	R_THRTRS	6.1.1.3			1.73					Saccharomyces pastorianus	BRENDA LIT: 409; Filo Dist: 4.245
substrate catalytic rate constant	R_LEUTRS	6.1.1.4			0.12					Escherichia coli	BRENDA LIT: 672235; Filo Dist: 1.512
substrate catalytic rate constant	R_LEUTRS	6.1.1.4			2.9					Escherichia coli	BRENDA LIT: 649992; Filo Dist: 1.512
substrate catalytic rate constant	R_LEUTRS	6.1.1.4			3.0					Escherichia coli	BRENDA LIT: 649992; Filo Dist: 1.512
